"model","test_RMSE","test_R2"
"Baseline LM",137894.818455758,0.829681708898016
"AIC Stepwise",137894.818455758,0.829681708898015
"BIC Stepwise",138025.432258757,0.829362688392007
"Cp (numeric-only)",211399.783799586,0.598435911514115
"Log-Price LM (log scale)",0.185192994841908,0.871257057428614
